delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time
0.001271037,UDP,192.168.0.103,192.168.0.100,10221,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.5915072
0.002339889,UDP,192.168.0.103,192.168.0.100,10222,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.5938473
0.001916667,UDP,192.168.0.103,192.168.0.100,10223,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.595764
0.001391241,UDP,192.168.0.103,192.168.0.100,10224,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.597155
0.002232481,UDP,192.168.0.103,192.168.0.100,10225,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.5993876
0.004379815,UDP,192.168.0.103,192.168.0.100,10226,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6037674
0.003309889,UDP,192.168.0.103,192.168.0.100,10227,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6070771
0.002785185,UDP,192.168.0.103,192.168.0.100,10228,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6098623
0.002040037,UDP,192.168.0.103,192.168.0.100,10229,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6119025
0.001076241,UDP,192.168.0.103,192.168.0.100,10230,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6129787
0.002763222,UDP,192.168.0.103,192.168.0.100,10231,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.615742
0.001748315,UDP,192.168.0.103,192.168.0.100,10232,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6174903
0.001860037,UDP,192.168.0.103,192.168.0.100,10233,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6193504
0.004703778,UDP,192.168.0.103,192.168.0.100,10234,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.624054
0.003236185,UDP,192.168.0.103,192.168.0.100,10235,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6272905
0.002969222,UDP,192.168.0.103,192.168.0.100,10236,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6302595
0.001692167,UDP,192.168.0.103,192.168.0.100,10237,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6319516
0.001092148,UDP,192.168.0.103,192.168.0.100,10238,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6330438
0.002715481,UDP,192.168.0.103,192.168.0.100,10239,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.635759
0.00179076,UDP,192.168.0.103,192.168.0.100,10240,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.63755
0.002221074,UDP,192.168.0.103,192.168.0.100,10241,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6397712
0.001150833,UDP,192.168.0.103,192.168.0.100,10242,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.640922
0.0021855,UDP,192.168.0.103,192.168.0.100,10243,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6431077
0.001257945,UDP,192.168.0.103,192.168.0.100,10244,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6443653
0.002663944,UDP,192.168.0.103,192.168.0.100,10245,123,60,8.0,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930725.6470294
